2192;BCB;true;0.00;1890220034.00;1112;BOFA;true;12900000210.00;3564234127.00;1;PETROBRAS;2024-12-12;30.33;null;100000.00;2024-10-13 15:22:52
2192;BCB;true;0.00;1890220034.00;1112;BOFA;true;12900000210.00;3564234127.00;1;PETROBRAS;2024-12-12;30.33;null;100000.00;2024-10-16 20:28:25
100;BOFAA;true;12900000210.00;3564234127.00;111;ABOBOM;true;200000.00;100000.00;2;testandoAlterar;2033-03-23;333.33;null;23.00;2024-10-18 17:42:41
111;ABOBOM;true;200000.00;100000.00;100;BOFAA;true;12900000210.00;3564234127.00;2;testandoAlterar;2033-03-23;333.33;null;2.00;2024-10-18 17:48:49
111;ABOBOM;true;200000.00;100000.00;100;BOFAA;true;12900000210.00;3564234127.00;2;testandoAlterar;2033-03-23;333.33;null;2.00;2024-10-18 17:57:37
111;ABOBOM;true;200000.00;100000.00;123;BOBABO;true;300000.00;4000.00;3;soloarabora;2045-11-30;22.34;null;9.00;2024-10-18 18:40:33
111;ABOBOM;true;200000.00;100000.00;100;BOFAA;true;12900000210.00;3564234127.00;2;testandoAlterar;2033-03-23;333.33;null;20.00;2024-10-18 19:42:37
222;Linha4;false;100000.00;10000.00;111;ABOBOM;true;200000.00;100000.00;2;testandoAlterar;2033-03-23;333.33;null;1.00;2024-10-18 19:54:08
100;BOFAA;true;12900000210.00;3564234127.00;111;ABOBOM;true;200000.00;100000.00;2;testandoAlterar;2033-03-23;333.33;null;2.00;2024-10-18 19:57:39
111;ABOBOM;true;201000.00;100000.00;100;BOFAA;true;12899999210.00;3564234127.00;2;testandoAlterar;2033-03-23;333.33;null;1000.00;2024-10-18 19:58:46
222;Linha4;false;100000.00;11547.70;123;BOBABO;true;298452.30;4000.00;null;2;Brasiiiiiil;2034-12-22;23.00;1540.00;2024-10-20 17:00:54
123;BOBABO;true;298452.30;4154.00;222;Linha4;false;99846.00;11547.70;null;2;Brasiiiiiil;2034-12-22;23.00;154.00;2024-10-20 17:06:41
222;Linha4;true;100.00;116.10;333;Linha7;true;84.60;200.00;null;2;Brasiiiiiil;2034-12-22;23.00;15.40;2024-10-20 17:10:36
222;Linha4;true;100.00;123.80;333;Linha7;true;76.90;200.00;null;2;Brasiiiiiil;2034-12-22;23.00;7.70;2024-10-20 17:11:08
222;Linha4;true;100.00;116.10;333;Linha7;true;84.60;200.00;null;2;Brasiiiiiil;2034-12-22;23.00;15.40;2024-10-20 17:12:34
222;Linha4;true;100.00;108.40;333;Linha7;true;92.30;200.00;null;2;Brasiiiiiil;2034-12-22;23.00;7.70;2024-10-20 17:12:55
222;Linha4;true;100.00;108.40;333;Linha7;true;100.00;192.30;null;2;Brasiiiiiil;2034-12-22;23.00;7.70;2024-10-20 17:13:39
222;Linha4;true;200.00;108.40;333;Linha7;true;0.00;192.30;3;soloarabora;2045-11-30;22.34;null;100.00;2024-10-20 17:14:12
222;Linha4;true;140.00;85.30;111;ABOBOM;true;200960.00;100000.00;3;soloarabora;2045-11-30;22.34;null;40.00;2024-10-21 15:14:31
111;ABOBOM;true;200960.00;100002.31;222;Linha4;true;140.00;82.99;null;2;Brasiiiiiil;2034-12-22;23.00;2.31;2024-10-21 15:14:49
